,index,Genotype,Status,Volume
360,281,R50H05/w,Ctrl,0.0
361,271,R50H05/w,Ctrl,0.0
362,258,Chr/w,Ctrl,5.68
363,257,Chr/w,Ctrl,71.702
364,256,R50H05/w,Ctrl,68.5149999999999
365,233,R50H05>Chr,Test,398.577
366,234,R50H05>Chr,Test,277.303
367,235,R50H05>Chr,Test,85.674
368,236,R50H05>Chr,Test,144.623
369,237,R50H05>Chr,Test,362.0
370,238,R50H05>Chr,Test,498.377
371,239,R50H05>Chr,Test,255.78099999999998
372,240,R50H05>Chr,Test,68.429
373,241,R50H05>Chr,Test,238.153
374,242,R50H05>Chr,Test,208.072
375,243,R50H05>Chr,Test,153.393
376,244,R50H05>Chr,Test,8.939
377,245,R50H05>Chr,Test,483.284
378,246,R50H05>Chr,Test,348.954
379,247,R50H05>Chr,Test,142.739
380,248,R50H05>Chr,Test,69.899
381,249,R50H05>Chr,Test,454.62399999999997
382,250,R50H05>Chr,Test,291.132
383,251,R50H05>Chr,Test,443.865
384,252,R50H05>Chr,Test,166.657
385,253,R50H05/w,Ctrl,28.555
386,254,R50H05/w,Ctrl,58.921
387,255,Chr/w,Ctrl,4.881
388,231,R50H05>Chr,Test,330.79900000000004
389,389,R50H05>Chr,Test,280.015
