,index,Genotype,Status,Light,Perifeed Speed Ratio
211,176,ACR1/w,Ctrl,Green Light On,
212,175,Trhn/w,Ctrl,Green Light On,
213,174,Trhn/w,Ctrl,Green Light On,
214,173,ACR1/w,Ctrl,Green Light On,
215,172,ACR1/w,Ctrl,Green Light On,
216,171,ACR1/w,Ctrl,Green Light On,
217,170,ACR1/w,Ctrl,Green Light On,
218,169,ACR1/w,Ctrl,Green Light On,
219,168,ACR1/w,Ctrl,Green Light On,
220,167,ACR1/w,Ctrl,Green Light On,
221,166,ACR1/w,Ctrl,Green Light On,
222,37,Trhn/w,Ctrl,Green Light On,0.8443676733455034
223,38,Trhn>ACR1,Test,Green Light On,0.5776375642801066
224,39,Trhn/w,Ctrl,Green Light On,0.9621850560462324
225,41,Trhn>ACR1,Test,Green Light On,1.0881170158817448
226,42,ACR1/w,Ctrl,Green Light On,0.6311753277983753
227,43,ACR1/w,Ctrl,Green Light On,0.7317986763140601
228,44,Trhn/w,Ctrl,Green Light On,0.8131281459956275
229,45,Trhn>ACR1,Test,Green Light On,0.6333893346724474
230,46,ACR1/w,Ctrl,Green Light On,0.9924289784931526
231,47,Trhn/w,Ctrl,Green Light On,0.9099953733200032
232,48,Trhn>ACR1,Test,Green Light On,0.9005180298292806
233,149,Trhn/w,Ctrl,Green Light On,0.9587191455605796
234,148,ACR1/w,Ctrl,Green Light On,0.6259354730077686
235,147,Trhn>ACR1,Test,Green Light On,0.9525885962201668
236,146,ACR1/w,Ctrl,Green Light On,0.687130801709492
237,145,Trhn>ACR1,Test,Green Light On,0.2039369864447613
238,35,Trhn>ACR1,Test,Green Light On,0.8309774582023747
239,0,Trhn/w,Ctrl,Green Light On,1.5582851115877172
