,index,Genotype,Status,Volume
204,272,Chr/w,Ctrl,111.92699999999999
205,273,Chr/w,Ctrl,0.0
206,274,Chr/w,Ctrl,0.0
207,276,Chr/w,Ctrl,134.25699999999998
208,209,Trhn/w,Ctrl,0.0
209,149,Trhn>Chr,Test,0.0
210,207,Chr/w,Ctrl,0.0
211,143,Trhn>Chr,Test,0.0
212,144,Trhn>Chr,Test,50.102000000000004
213,145,Trhn>Chr,Test,24.580000000000002
214,146,Trhn>Chr,Test,147.418
215,147,Trhn>Chr,Test,31.9259999999999
216,148,Trhn>Chr,Test,52.185
217,298,Chr/w,Ctrl,0.0
218,150,Trhn>Chr,Test,0.0
219,142,Chr/w,Ctrl,366.23
220,151,Trhn>Chr,Test,0.0
221,153,Trhn/w,Ctrl,213.978
222,154,Trhn>Chr,Test,0.0
223,155,Trhn>Chr,Test,0.0
224,156,Trhn>Chr,Test,28.335
225,157,Trhn>Chr,Test,11.803999999999899
226,158,Trhn>Chr,Test,27.586
227,159,Trhn>Chr,Test,82.819
228,160,Trhn>Chr,Test,146.91000000000003
229,152,Trhn>Chr,Test,0.0
230,141,Trhn>Chr,Test,0.0
231,140,Trhn>Chr,Test,0.0
232,139,Trhn>Chr,Test,52.727999999999994
233,120,Trhn>Chr,Test,16.8719999999999
234,121,Trhn/w,Ctrl,283.6909999999999
235,122,Trhn>Chr,Test,0.0
236,123,Trhn>Chr,Test,0.0
237,124,Trhn>Chr,Test,0.0
238,125,Trhn>Chr,Test,0.0
239,126,Trhn>Chr,Test,220.67899999999997
240,127,Trhn>Chr,Test,212.654
241,128,Trhn>Chr,Test,17.2669999999999
242,129,Trhn>Chr,Test,37.927
243,130,Chr/w,Ctrl,384.606
244,131,Trhn>Chr,Test,0.0
245,132,Trhn>Chr,Test,77.7699999999999
246,133,Trhn/w,Ctrl,393.832
247,134,Trhn>Chr,Test,57.716
248,135,Trhn>Chr,Test,15.723999999999998
249,136,Trhn/w,Ctrl,294.95699999999994
250,137,Trhn>Chr,Test,4.724
251,138,Trhn/w,Ctrl,251.07199999999992
252,161,Trhn>Chr,Test,134.406
253,162,Trhn>Chr,Test,12.718
254,163,Trhn>Chr,Test,62.839999999999996
255,164,Trhn>Chr,Test,63.28300000000001
256,188,Trhn/w,Ctrl,227.217
257,189,Trhn/w,Ctrl,409.432
258,190,Chr/w,Ctrl,151.287
259,191,Trhn/w,Ctrl,171.39
260,192,Trhn/w,Ctrl,351.459
261,193,Trhn/w,Ctrl,153.235
262,194,Trhn/w,Ctrl,212.157
263,195,Trhn/w,Ctrl,302.329
264,196,Chr/w,Ctrl,137.469
265,197,Trhn/w,Ctrl,112.161
266,198,Trhn/w,Ctrl,447.08
267,199,Chr/w,Ctrl,403.971
268,200,Trhn/w,Ctrl,391.382
269,201,Chr/w,Ctrl,0.0
270,202,Chr/w,Ctrl,0.0
271,203,Trhn/w,Ctrl,0.0
272,204,Chr/w,Ctrl,0.0
273,205,Chr/w,Ctrl,0.0
274,206,Chr/w,Ctrl,0.0
275,187,Trhn/w,Ctrl,312.79400000000004
276,208,Chr/w,Ctrl,0.0
277,186,Chr/w,Ctrl,327.58799999999997
278,184,Trhn>Chr,Test,16.567999999999998
279,165,Trhn>Chr,Test,144.883
280,166,Trhn>Chr,Test,15.786000000000001
281,167,Trhn>Chr,Test,13.1869999999999
282,168,Trhn>Chr,Test,36.033
283,169,Trhn>Chr,Test,0.0
284,170,Trhn>Chr,Test,0.0
285,171,Trhn>Chr,Test,0.0
286,172,Trhn>Chr,Test,15.876000000000001
287,173,Trhn>Chr,Test,153.9029999999999
288,174,Trhn>Chr,Test,53.518
289,175,Trhn>Chr,Test,0.0
290,176,Trhn>Chr,Test,84.15899999999999
291,177,Trhn>Chr,Test,37.74
292,178,Trhn>Chr,Test,25.123
293,179,Trhn>Chr,Test,22.529
294,180,Trhn>Chr,Test,0.0
295,181,Trhn>Chr,Test,92.447
296,182,Trhn>Chr,Test,0.0
297,183,Trhn>Chr,Test,54.663999999999994
298,185,Trhn/w,Ctrl,39.013
299,299,Trhn/w,Ctrl,279.764
