,index,Genotype,Status,Light,Perifeed Speed Ratio
151,220,Trhn/w,Ctrl,Red Light On,0.907705175362988
152,221,Trhn/w,Ctrl,Red Light On,0.9120638969118732
153,222,Chr/w,Ctrl,Red Light On,0.8518906238019808
154,223,Trhn/w,Ctrl,Red Light On,0.9855936360568178
155,224,Trhn/w,Ctrl,Red Light On,0.9630922637400224
156,225,Chr/w,Ctrl,Red Light On,0.4879673019063593
157,226,Trhn/w,Ctrl,Red Light On,0.8442477801706401
158,227,Chr/w,Ctrl,Red Light On,0.3133426219461392
159,228,Chr/w,Ctrl,Red Light On,1.0529114476924666
160,229,Trhn/w,Ctrl,Red Light On,0.4134813301176569
161,231,Trhn/w,Ctrl,Red Light On,0.8938387352855499
162,253,Trhn/w,Ctrl,Red Light On,0.083690128286786
163,283,Trhn/w,Ctrl,Red Light On,0.4679728492240239
164,255,Trhn/w,Ctrl,Red Light On,0.2674149218650834
165,279,Trhn/w,Ctrl,Red Light On,0.7512671874735354
166,280,Trhn/w,Ctrl,Red Light On,0.3876284207165161
167,281,Chr/w,Ctrl,Red Light On,0.3085018740559483
168,282,Trhn/w,Ctrl,Red Light On,0.403787782410575
169,284,Chr/w,Ctrl,Red Light On,1.085278115300385
170,285,Trhn/w,Ctrl,Red Light On,0.4282979121684251
171,286,Chr/w,Ctrl,Red Light On,0.0682849493251245
172,287,Chr/w,Ctrl,Red Light On,
173,288,Chr/w,Ctrl,Red Light On,
174,289,Chr/w,Ctrl,Red Light On,
175,290,Chr/w,Ctrl,Red Light On,
176,291,Chr/w,Ctrl,Red Light On,
177,292,Chr/w,Ctrl,Red Light On,0.1806458514694054
178,293,Trhn/w,Ctrl,Red Light On,0.9777696271842148
179,294,Trhn/w,Ctrl,Red Light On,1.0143963243099552
180,295,Chr/w,Ctrl,Red Light On,1.4920509622055718
181,296,Chr/w,Ctrl,Red Light On,0.9994048931330558
182,297,Chr/w,Ctrl,Red Light On,0.974997388065674
183,210,Chr/w,Ctrl,Red Light On,
184,278,Chr/w,Ctrl,Red Light On,0.5966204796996296
185,254,Chr/w,Ctrl,Red Light On,1.6875024130519911
186,277,Chr/w,Ctrl,Red Light On,
187,275,Chr/w,Ctrl,Red Light On,
188,256,Trhn/w,Ctrl,Red Light On,0.990874139366585
189,257,Chr/w,Ctrl,Red Light On,0.442709851921113
190,258,Chr/w,Ctrl,Red Light On,0.5754410060046261
191,259,Trhn/w,Ctrl,Red Light On,0.3265132328974017
192,260,Trhn/w,Ctrl,Red Light On,0.9456122340693652
193,261,Chr/w,Ctrl,Red Light On,0.2674183737086523
194,262,Trhn/w,Ctrl,Red Light On,0.9509722544878778
195,263,Trhn/w,Ctrl,Red Light On,0.5446951317075608
196,264,Trhn/w,Ctrl,Red Light On,0.4646026112917227
197,265,Chr/w,Ctrl,Red Light On,0.286865480007941
198,266,Chr/w,Ctrl,Red Light On,0.6487647527189235
199,267,Trhn/w,Ctrl,Red Light On,0.549390150238714
200,268,Trhn/w,Ctrl,Red Light On,1.05489072025063
201,269,Trhn/w,Ctrl,Red Light On,0.9501979743562656
202,270,Trhn/w,Ctrl,Red Light On,0.9761009365721256
203,271,Chr/w,Ctrl,Red Light On,0.4050615478860588
204,272,Chr/w,Ctrl,Red Light On,0.4032670399124889
205,273,Chr/w,Ctrl,Red Light On,
206,274,Chr/w,Ctrl,Red Light On,
207,276,Chr/w,Ctrl,Red Light On,0.4227892729674787
208,209,Trhn/w,Ctrl,Red Light On,
209,149,Trhn>Chr,Test,Red Light On,
210,207,Chr/w,Ctrl,Red Light On,
211,143,Trhn>Chr,Test,Red Light On,
212,144,Trhn>Chr,Test,Red Light On,0.6541000128439066
213,145,Trhn>Chr,Test,Red Light On,1.4047334593954812
214,146,Trhn>Chr,Test,Red Light On,0.8830481387877822
215,147,Trhn>Chr,Test,Red Light On,0.8662652129599048
216,148,Trhn>Chr,Test,Red Light On,0.9323109177374836
217,298,Chr/w,Ctrl,Red Light On,
218,150,Trhn>Chr,Test,Red Light On,
219,142,Chr/w,Ctrl,Red Light On,1.263775020338239
220,151,Trhn>Chr,Test,Red Light On,
221,153,Trhn/w,Ctrl,Red Light On,0.6559602490240495
222,154,Trhn>Chr,Test,Red Light On,
223,155,Trhn>Chr,Test,Red Light On,
224,156,Trhn>Chr,Test,Red Light On,1.76448484180936
225,157,Trhn>Chr,Test,Red Light On,1.0188164762325902
226,158,Trhn>Chr,Test,Red Light On,1.0122838840574082
