,index,Genotype,Status,Light,Perifeed Speed Ratio
368,236,R50H05>Chr,Test,Red Light On,0.2117186806742454
369,237,R50H05>Chr,Test,Red Light On,0.4127932227786425
370,238,R50H05>Chr,Test,Red Light On,0.5470643090846175
371,239,R50H05>Chr,Test,Red Light On,0.8594541726275371
372,240,R50H05>Chr,Test,Red Light On,0.4485438856114518
373,241,R50H05>Chr,Test,Red Light On,0.9713010040134796
374,242,R50H05>Chr,Test,Red Light On,0.9250424462964704
375,243,R50H05>Chr,Test,Red Light On,1.0047245838634355
376,244,R50H05>Chr,Test,Red Light On,0.6464860266380827
377,245,R50H05>Chr,Test,Red Light On,0.4606742041024878
378,246,R50H05>Chr,Test,Red Light On,0.411066650696326
379,247,R50H05>Chr,Test,Red Light On,0.7419436159293575
380,248,R50H05>Chr,Test,Red Light On,0.3787842142615629
381,249,R50H05>Chr,Test,Red Light On,0.7332863757829141
382,250,R50H05>Chr,Test,Red Light On,0.5473232148933154
383,251,R50H05>Chr,Test,Red Light On,0.8818822198812846
384,252,R50H05>Chr,Test,Red Light On,0.845902631142391
385,253,R50H05/w,Ctrl,Red Light On,3.1284823029902844
386,254,R50H05/w,Ctrl,Red Light On,0.9928360546878696
387,255,Chr/w,Ctrl,Red Light On,0.3845891531786601
388,231,R50H05>Chr,Test,Red Light On,0.819251407497456
389,389,R50H05>Chr,Test,Red Light On,0.497084799421118
