,Genotype,Light,Status,Volume,Meal Size,Count,date,ID,Calculated Volume (Meal Size x Count)
144,Trhn/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-29_17-05-16,7,0.0
145,Trhn/w,Red Light On,Ctrl,49.965,16.655,3.0,2019-05-01_14-57-59,17,49.965
146,Chr/w,Red Light On,Ctrl,203.55,18.504545454545397,11.0,2019-05-01_14-57-59,16,203.54999999999936
147,Trhn/w,Red Light On,Ctrl,103.70400000000001,7.9772307692307,13.0,2019-05-01_14-57-59,15,103.7039999999991
148,Chr/w,Red Light On,Ctrl,485.154,37.3195384615384,13.0,2020-11-05_15-14-54,1,485.1539999999992
149,Chr/w,Red Light On,Ctrl,171.676,24.5251428571428,7.0,2020-11-05_15-14-54,10,171.6759999999996
150,Chr/w,Red Light On,Ctrl,323.886,26.9905,12.0,2020-11-05_15-14-54,13,323.886
151,Trhn/w,Red Light On,Ctrl,523.454,12.7671707317073,41.0,2020-11-05_15-14-54,14,523.4539999999993
152,Trhn/w,Red Light On,Ctrl,403.77299999999997,6.0264626865671,67.0,2020-11-05_15-14-54,16,403.77299999999565
153,Chr/w,Red Light On,Ctrl,199.172,28.453142857142797,7.0,2020-11-05_15-14-54,18,199.17199999999957
154,Trhn/w,Red Light On,Ctrl,398.609,7.3816481481481,54.0,2020-11-05_15-14-54,2,398.6089999999974
155,Trhn/w,Red Light On,Ctrl,319.743,9.4042058823529,34.0,2020-11-05_15-14-54,25,319.7429999999986
156,Chr/w,Red Light On,Ctrl,200.963,28.709,7.0,2020-11-05_15-14-54,27,200.963
157,Trhn/w,Red Light On,Ctrl,444.465,15.87375,28.0,2020-11-05_15-14-54,28,444.465
158,Chr/w,Red Light On,Ctrl,192.23000000000002,21.3588888888888,9.0,2020-11-05_15-14-54,30,192.2299999999992
159,Chr/w,Red Light On,Ctrl,277.717,92.5723333333333,3.0,2020-11-05_15-14-54,4,277.7169999999999
160,Trhn/w,Red Light On,Ctrl,359.995,59.999166666666596,6.0,2020-11-05_15-14-54,5,359.99499999999955
161,Trhn/w,Red Light On,Ctrl,468.165,24.6402631578947,19.0,2020-11-05_15-14-54,8,468.16499999999934
162,Trhn/w,Red Light On,Ctrl,129.447,129.447,1.0,2019-04-05_12-10-53,14,129.447
163,Trhn/w,Red Light On,Ctrl,385.38800000000003,48.173500000000004,8.0,2020-11-12_13-47-57,4,385.38800000000003
164,Trhn/w,Red Light On,Ctrl,442.096,147.3653333333333,3.0,2019-04-05_12-10-53,11,442.0959999999999
165,Trhn/w,Red Light On,Ctrl,372.85400000000004,93.21350000000001,4.0,2020-11-12_13-47-57,24,372.85400000000004
166,Trhn/w,Red Light On,Ctrl,521.8159999999999,173.9386666666666,3.0,2020-11-12_13-47-57,27,521.8159999999998
167,Chr/w,Red Light On,Ctrl,140.426,46.8086666666666,3.0,2020-11-12_13-47-57,3,140.42599999999982
168,Trhn/w,Red Light On,Ctrl,1093.251,156.1787142857142,7.0,2020-11-12_13-47-57,30,1093.2509999999993
169,Chr/w,Red Light On,Ctrl,235.375,33.625,7.0,2020-11-12_13-47-57,6,235.375
170,Trhn/w,Red Light On,Ctrl,348.443,24.8887857142857,14.0,2020-11-12_13-47-57,7,348.4429999999998
171,Chr/w,Red Light On,Ctrl,226.536,226.536,1.0,2020-11-12_13-47-57,9,226.536
172,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-03_12-01-47,7,0.0
173,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-03_12-01-47,27,0.0
174,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-05_12-10-53,7,0.0
175,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-05_12-10-53,13,0.0
176,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-05_12-10-53,27,0.0
177,Chr/w,Red Light On,Ctrl,191.38,31.8966666666666,6.0,2019-04-29_17-05-16,3,191.3799999999996
178,Trhn/w,Red Light On,Ctrl,202.793,33.7988333333333,6.0,2019-04-03_12-01-47,8,202.79299999999978
179,Trhn/w,Red Light On,Ctrl,252.571,11.4805,22.0,2019-04-03_12-01-47,5,252.57099999999997
180,Chr/w,Red Light On,Ctrl,429.20799999999997,47.6897777777777,9.0,2019-04-03_12-01-47,4,429.2079999999993
181,Chr/w,Red Light On,Ctrl,73.24300000000001,4.0690555555555,18.0,2019-04-03_12-01-47,30,73.242999999999
182,Chr/w,Red Light On,Ctrl,44.447,22.2235,2.0,2019-04-05_12-10-53,21,44.447
183,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-05-01_14-57-59,22,0.0
184,Chr/w,Red Light On,Ctrl,549.3220000000001,61.0357777777777,9.0,2020-11-12_13-47-57,23,549.3219999999993
185,Chr/w,Red Light On,Ctrl,151.225,75.6125,2.0,2019-04-29_17-05-16,29,151.225
186,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-05_12-10-53,30,0.0
187,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-12_13-47-57,29,0.0
188,Trhn/w,Red Light On,Ctrl,244.2,6.2615384615384,39.0,2019-04-05_12-10-53,28,244.1999999999976
189,Chr/w,Red Light On,Ctrl,125.79599999999999,13.9773333333333,9.0,2019-04-05_12-10-53,10,125.79599999999971
190,Chr/w,Red Light On,Ctrl,357.36899999999997,35.7369,10.0,2019-04-03_12-01-47,18,357.36899999999997
191,Trhn/w,Red Light On,Ctrl,147.98600000000002,147.98600000000002,1.0,2019-04-29_17-05-16,1,147.98600000000002
192,Trhn/w,Red Light On,Ctrl,151.048,37.762,4.0,2019-04-29_17-05-16,10,151.048
193,Chr/w,Red Light On,Ctrl,133.3919999999999,26.6783999999999,5.0,2019-04-29_17-05-16,12,133.3919999999995
194,Trhn/w,Red Light On,Ctrl,211.941,17.66175,12.0,2019-04-03_12-01-47,16,211.94100000000003
195,Trhn/w,Red Light On,Ctrl,80.023,40.0115,2.0,2019-04-29_17-05-16,18,80.023
196,Trhn/w,Red Light On,Ctrl,1.52,1.52,1.0,2019-04-03_12-01-47,14,1.52
197,Chr/w,Red Light On,Ctrl,285.221,8.643060606060601,33.0,2019-04-03_12-01-47,13,285.22099999999983
198,Chr/w,Red Light On,Ctrl,178.863,178.863,1.0,2019-04-29_17-05-16,20,178.863
199,Trhn/w,Red Light On,Ctrl,146.198,36.5495,4.0,2019-04-29_17-05-16,21,146.198
200,Trhn/w,Red Light On,Ctrl,170.12199999999999,85.06099999999999,2.0,2019-04-29_17-05-16,24,170.12199999999999
201,Trhn/w,Red Light On,Ctrl,433.17699999999996,14.9371379310344,29.0,2019-04-03_12-01-47,28,433.1769999999976
202,Trhn/w,Red Light On,Ctrl,294.79100000000005,7.5587435897435,39.0,2019-04-05_12-10-53,25,294.79099999999653
203,Chr/w,Red Light On,Ctrl,1.661,1.661,1.0,2019-04-05_12-10-53,24,1.661
204,Chr/w,Red Light On,Ctrl,111.92699999999999,12.4363333333333,9.0,2019-04-05_12-10-53,1,111.9269999999997
205,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-12_13-47-57,15,0.0
206,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-12_13-47-57,26,0.0
207,Chr/w,Red Light On,Ctrl,134.25699999999998,44.7523333333333,3.0,2020-11-12_13-47-57,20,134.2569999999999
208,Trhn/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-05-01_14-57-59,12,0.0
209,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2020-11-05_15-14-54,9,0.0
210,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-05-01_14-57-59,2,0.0
211,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-05_12-10-53,3,0.0
212,Trhn>Chr,Red Light On,Test,50.102000000000004,4.5547272727272,11.0,2020-11-12_13-47-57,5,50.101999999999194
213,Trhn>Chr,Red Light On,Test,24.580000000000002,3.5114285714285,7.0,2019-04-05_12-10-53,17,24.5799999999995
214,Trhn>Chr,Red Light On,Test,147.418,9.8278666666666,15.0,2020-11-12_13-47-57,8,147.41799999999898
215,Trhn>Chr,Red Light On,Test,31.9259999999999,5.320999999999899,6.0,2019-04-05_12-10-53,12,31.925999999999398
216,Trhn>Chr,Red Light On,Test,52.185,5.7983333333333,9.0,2019-04-03_12-01-47,9,52.184999999999704
217,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-05_15-14-54,21,0.0
218,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2020-11-05_15-14-54,6,0.0
219,Chr/w,Red Light On,Ctrl,366.23,73.24600000000001,5.0,2019-04-03_12-01-47,24,366.23
220,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2020-11-05_15-14-54,26,0.0
221,Trhn/w,Red Light On,Ctrl,213.978,14.2652,15.0,2019-04-29_17-05-16,13,213.978
222,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-29_17-05-16,14,0.0
223,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-05-01_14-57-59,10,0.0
224,Trhn>Chr,Red Light On,Test,28.335,5.667,5.0,2019-05-01_14-57-59,18,28.335
225,Trhn>Chr,Red Light On,Test,11.803999999999899,1.9673333333333,6.0,2019-04-29_17-05-16,28,11.8039999999998
226,Trhn>Chr,Red Light On,Test,27.586,4.5976666666665995,6.0,2019-04-29_17-05-16,19,27.585999999999597
227,Trhn>Chr,Red Light On,Test,82.819,5.9156428571427995,14.0,2019-05-01_14-57-59,24,82.81899999999919
228,Trhn>Chr,Red Light On,Test,146.91000000000003,8.6417647058823,17.0,2019-05-01_14-57-59,4,146.90999999999912
229,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-05-01_14-57-59,21,0.0
230,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-05_12-10-53,6,0.0
231,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-29_17-05-16,11,0.0
232,Trhn>Chr,Red Light On,Test,52.727999999999994,8.7879999999999,6.0,2020-11-12_13-47-57,22,52.727999999999405
233,Trhn>Chr,Red Light On,Test,16.8719999999999,4.2179999999999,4.0,2019-04-03_12-01-47,12,16.8719999999996
234,Trhn/w,Red Light On,Ctrl,283.6909999999999,56.7381999999999,5.0,2019-04-03_12-01-47,19,283.6909999999995
235,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-03_12-01-47,23,0.0
236,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-05-01_14-57-59,27,0.0
237,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-29_17-05-16,22,0.0
238,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-03_12-01-47,15,0.0
239,Trhn>Chr,Red Light On,Test,220.67899999999997,24.5198888888888,9.0,2019-04-03_12-01-47,26,220.6789999999992
240,Trhn>Chr,Red Light On,Test,212.654,4.945441860465101,43.0,2020-11-12_13-47-57,28,212.65399999999934
241,Trhn>Chr,Red Light On,Test,17.2669999999999,3.4533999999999,5.0,2020-11-05_15-14-54,3,17.2669999999995
242,Trhn>Chr,Red Light On,Test,37.927,3.7927,10.0,2020-11-05_15-14-54,29,37.927
243,Chr/w,Red Light On,Ctrl,384.606,34.9641818181818,11.0,2019-04-03_12-01-47,21,384.60599999999977
244,Trhn>Chr,Red Light On,Test,0.0,0.0,0.0,2019-04-03_12-01-47,3,0.0
245,Trhn>Chr,Red Light On,Test,77.7699999999999,9.7212499999999,8.0,2020-11-05_15-14-54,23,77.7699999999992
246,Trhn/w,Red Light On,Ctrl,393.832,15.753280000000002,25.0,2019-04-05_12-10-53,22,393.83200000000005
247,Trhn>Chr,Red Light On,Test,57.716,4.4396923076923,13.0,2020-11-12_13-47-57,11,57.7159999999999
248,Trhn>Chr,Red Light On,Test,15.723999999999998,5.2413333333333005,3.0,2020-11-12_13-47-57,14,15.7239999999999
249,Trhn/w,Red Light On,Ctrl,294.95699999999994,12.8242173913043,23.0,2019-04-03_12-01-47,22,294.9569999999989
250,Trhn>Chr,Red Light On,Test,4.724,2.362,2.0,2020-11-12_13-47-57,19,4.724
251,Trhn/w,Red Light On,Ctrl,251.07199999999992,27.8968888888888,9.0,2019-04-03_12-01-47,2,251.0719999999992
252,Trhn>Chr,Red Light On,Test,134.406,33.6015,4.0,2019-05-01_14-57-59,7,134.406
253,Trhn>Chr,Red Light On,Test,12.718,3.1795,4.0,2020-11-05_15-14-54,12,12.718
254,Trhn>Chr,Red Light On,Test,62.839999999999996,4.1893333333333,15.0,2019-04-05_12-10-53,15,62.8399999999995
