,index,Genotype,Status,Volume
226,42,ACR1/w,Ctrl,211.248
227,43,ACR1/w,Ctrl,61.953
228,44,Trhn/w,Ctrl,163.142
229,45,Trhn>ACR1,Test,227.497
230,46,ACR1/w,Ctrl,181.072
231,47,Trhn/w,Ctrl,346.176
232,48,Trhn>ACR1,Test,1143.334
233,149,Trhn/w,Ctrl,307.048
234,148,ACR1/w,Ctrl,48.763
235,147,Trhn>ACR1,Test,590.0840000000001
236,146,ACR1/w,Ctrl,70.37599999999999
237,145,Trhn>ACR1,Test,236.29500000000002
238,35,Trhn>ACR1,Test,273.56
239,0,Trhn/w,Ctrl,4.742
