,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
29,30,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.7301199798690017,7.472324741899956,5.110965508787107,0.1938132584940918,0.13129285252825576,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
30,1,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.0733856413951638,8.218688294515662,3.950682649142254,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
31,2,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.08301405092503418,10.603569698300218,10.594529477964974,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
32,3,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,3.0817792601782377,6.380526979403835,7.549345541278467,0.8905684494244649,1.1892770557056818,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
33,4,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.05844944433568488,3.2101447835750774,11.28484648770097,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
34,5,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.16207990742305206,6.8825182735571815,0.6465208737590411,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
35,6,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.6410284828163864,5.812998803065904,7.201163141761965,0.1882558890749064,0.2750897862496787,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
36,7,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.061325651057666845,5.712779903244231,7.515392833570639,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
37,8,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.21329529153358784,5.716644067607773,10.190990749760958,0.10975804602891222,5.273943578806971,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
38,9,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,1.3330285054143103,5.58419324498719,6.697027726224527,0.15074364549540475,0.24452425444415885,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
39,10,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.04878565945734938,8.104009313495908,14.388798549100844,0.012504081193167215,0.022229477676741716,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
40,11,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.06362136951905548,5.8901450557365225,14.012494929522665,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
41,12,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,1.3161319095693833,5.583989821770927,7.57095724111213,0.04237494182128889,0.013198752370565394,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
