,index,Genotype,Status,Light,Meal Size
135,135,Trhn/w,Ctrl,Green Light On,8.6929696969696
136,136,Trhn/w,Ctrl,Green Light On,5.0133124999999
137,137,VNC-ACR1/w,Ctrl,Green Light On,10.184500000000002
138,138,VNC-ACR1/w,Ctrl,Green Light On,22.866
139,139,Trhn/w,Ctrl,Green Light On,3.6235749999999
140,140,Trhn/w,Ctrl,Green Light On,19.0816
141,141,Trhn>VNC-ACR1,Test,Green Light On,12.23025
142,142,Trhn>VNC-ACR1,Test,Green Light On,11.5891666666666
143,143,Trhn>VNC-ACR1,Test,Green Light On,7.3740000000000006
144,144,Trhn>VNC-ACR1,Test,Green Light On,4.9817142857142
145,145,Trhn>VNC-ACR1,Test,Green Light On,8.6096666666666
146,146,Trhn>VNC-ACR1,Test,Green Light On,6.4305862068965
147,147,Trhn>VNC-ACR1,Test,Green Light On,23.439600000000002
148,148,Trhn>VNC-ACR1,Test,Green Light On,9.0584285714285
149,149,Trhn>VNC-ACR1,Test,Green Light On,89.7955
150,150,Trhn>VNC-ACR1,Test,Green Light On,5.4143333333333
151,151,Trhn>VNC-ACR1,Test,Green Light On,42.7699999999999
152,152,Trhn>VNC-ACR1,Test,Green Light On,18.7161428571428
153,153,Trhn>VNC-ACR1,Test,Green Light On,16.203333333333298
154,154,Trhn>VNC-ACR1,Test,Green Light On,10.1239166666666
155,155,Trhn>VNC-ACR1,Test,Green Light On,23.880200000000002
156,156,Trhn>VNC-ACR1,Test,Green Light On,11.07
157,157,Trhn>VNC-ACR1,Test,Green Light On,4.5823333333333
158,158,Trhn>VNC-ACR1,Test,Green Light On,30.743499999999898
159,159,Trhn>VNC-ACR1,Test,Green Light On,2.871
160,160,Trhn>VNC-ACR1,Test,Green Light On,9.9039523809523
161,161,Trhn>VNC-ACR1,Test,Green Light On,8.3319999999999
162,162,Trhn>VNC-ACR1,Test,Green Light On,54.564666666666604
163,163,Trhn>VNC-ACR1,Test,Green Light On,40.4179999999999
164,164,Trhn>VNC-ACR1,Test,Green Light On,86.791
165,165,Trhn>VNC-ACR1,Test,Green Light On,117.38
166,166,Trhn>VNC-ACR1,Test,Green Light On,25.453125
167,167,Trhn>VNC-ACR1,Test,Green Light On,46.19275
168,168,Trhn>VNC-ACR1,Test,Green Light On,81.314
169,169,Trhn>VNC-ACR1,Test,Green Light On,3.6105384615384
170,170,Trhn>VNC-ACR1,Test,Green Light On,10.9969565217391
171,171,Trhn>VNC-ACR1,Test,Green Light On,0.0
172,172,Trhn>VNC-ACR1,Test,Green Light On,8.0128461538461
173,173,Trhn>VNC-ACR1,Test,Green Light On,11.4642857142857
174,174,Trhn>VNC-ACR1,Test,Green Light On,5.228448275862
175,175,Trhn>VNC-ACR1,Test,Green Light On,4.406904761904699
176,176,Trhn>VNC-ACR1,Test,Green Light On,9.1251666666666
177,177,Trhn>VNC-ACR1,Test,Green Light On,22.342000000000002
178,178,Trhn>VNC-ACR1,Test,Green Light On,14.061
